"User","arroba","hora de publicación","comentario","comentario_editado","Xóchitl","Claudia","Maynez","Ninguno"
"Lynn🌸","@SoyLyn05","08:58","¿Ya listos para mañana? Solo se que no voy a votar por Morena.  InundemosLasUrnas  Elecciones2024MX","¿ya listos para mañana?solo se que no oye a votar por morena.inundemos las urnas elecciones en méxico 2024","0","1","0","0"
"AnG","@angie_ares","08:26","Desde  Madrid listos para votar dese las 3am  VotoExtranjero🤞🤞🤞💗💗💗🇲🇽🇲🇽🇲🇽 gracias de verdad por hacer Patria, profundo y sincero agradecimiento por no dejarnos solos  InundemosLasUrnas  MexicoMereceMás  YoVotarePorXóchitl","desde madrid listos para votar dese las 3am voto en el extranjero gracias de verdad por hacer patria,profundo y sincero agradecimiento por no dejarnos solos inundemos las urnas méxico merece más yo votaré por xochitl","1","-1","0","0"
"Sociedad Civil México","@SocCivilMx","08:39","Así van las cosas , ¡Xóchitl va a ganar! ¡YA GANAMOS!  InundemosLasUrnas  ClaudiaEsUnPeligroParaMx","así van las cosas,¡xochitl va a ganar!¡ya ganamos!inundemos las urnas Claudia es un peligro para México","1","-1","0","0"
"Gerardo","@geraa_rdo_","08:37","Yo Votaré por Xóchitl 🤞🏼  YoVotaréPorXochitl  InundemosLasUrnas","yo votaré por xochitl yo votaré por xochitl inundemos las urnas","1","0","0","0"
"CARACUS 🇲🇽","@caracusmx","08:19","No lo olvides, lo peor del PRI... ahora está en Morena.  InundemosLasUrnas  VivaMexico 🌼  AbreLosOjos 🇲🇽  XóchitlGálvezPresidenta  MXSinMiedo  FueraMorena  SiNoVotasNoCuentas  VotaSinMiedo  VotoÚtilPorXóchitl  SalvemosAMexico  NosUnimosONosHundimos","no lo olvides,lo peor del pri representado por xochitl...ahora está en morena.inundemos las urnas viva México date cuenta xochitl gálvez será la presidenta méxico sin miedo fuera MORENA si no votas no cuenta vota sin miedo vota útil por xochitl salvemos a méxico nos unimos o nos hundimos","1","-1","0","0"
"YOMERODIA","@YOMERODIA","08:09"," XochitlGálvezPresidenta24  InundemosLasUrnas  YoSiVoyAVotar  VotoÚtilXMéxico","xochitl galvez presidenta 2024 inundemos las urnas yo si voy a votar voto útil por méxico","1","0","0","0"
"Ignacio","@ignacio29487414","08:52","Vamos México 🇲🇽  XochitlGálvezPresidenta24  InundemosLasUrnas  VotaXochitl  MxSinMiedo Pongamos fin a estos crimínales engañabobos.","vamos méxico xochitl galvez presidenta 2024 inundemos las urnas vota por xochitl méxico sin miedo pongamos fin a estos crimínales engañabobos.","1","0","0","0"
"Melissa Ⓜ️","@Melissa_Bely","08:43","Las elecciones más GRANDES… Con la campaña más SANGRIENTA.. En el sexenio más VIOLENTO.. Con el Presidente más PEQUEÑO..  YoVotaréPorXóchitl  EleccionesMx2024","las elecciones más grandes con la campaña más sangrienta..en el sexenio más violento..con el presidente más pequeño..yo votaré por xochitl elecciones en méxico 2024","1","-1","0","0"
"Olga Olvera","@olgaolvera","08:28","Hoy es el día! Sí, el día de acordarnos de todo en estos 6 años. De los muertos, los desaparecidos, los abrazos, del CO, la corrupción que aumentó, de nuestra CONSTITUCION y la división. Acordémonos de  México  EleccionesMx2024  YoVotarePorXóchitl  yovotaréporxochitl  Vota","hoy es el día!sí,el día de acordarnos de todo en estos 6 años.de los muertos,los desaparecidos,los abrazos,del con,la corrupción que aumentó,de nuestra constitucion y la división.acordémonos de méxico elecciones en méxico 2024 yo votaré por xochitl yo votaré por xochitl vota","1","-1","0","0"
"José","@Noe77Jose","08:22"," EleccionesMx2024 Feliz Domingo Votare Masivo por Morena  ClaudiaPresidentaDeMéxico2024 Champions. Ya ganó Claudita con el plan c apoyado por Claudia.","elecciones en méxico 2024 feliz domingo votaré masivo por morena claudia será la siguiente presidenta de méxico en 2024 champions.ya ganó claudita con el plan c apoyado por claudia.","0","1","0","0"
"TodosSomosLaTropa 𝕏 😑 🇲🇽","@TSomosLaTropa","08:31"," YoVotaréPorXóchitl Tomate dos minutos antes de votar 👇  EleccionesMx2024","yo votaré por xochitl tomate dos minutos antes de votar elecciones en méxico 2024","1","0","0","0"
"Rex","@RockoNoctem","08:27","La primera presidenta de México  XochitlGálvezPresidenta24  EleccionesMéxico2024  EleccionesMx2024  XóchitlGálvezPresidenta Palacio","la primera presidenta de méxico xochitl galvez presidenta 2024 elecciones en méxico 2024 elecciones en méxico 2024 xochitl gálvez será la presidenta palacio","1","0","0","0"
"TodosSomosLaTropa 𝕏 😑 🇲🇽","@TSomosLaTropa","08:24"," YoVotaréPorXóchitl  EleccionesMx2024 En su desesperación Morena adopata 👇🤦🏻","yo votaré por xochitl elecciones en méxico 2024 en su desesperación morena adopata","1","-1","0","0"
"Mauricio","@X_MauricioR","08:28","Xóchitl Gálvez Ruiz será la primera presidenta de los Estados Unidos Mexicanos. Espero no equivocarme 🤞 Guarden este post. 🩷  EleccionesMéxico2024  EleccionesMx2024  2dejunio","xochitl galvez ruiz será la primera presidenta de los#Estadosunidos mexicanos.espero no equivocarme guarden este post.elecciones en méxico 2024 elecciones en méxico 2024 2 de junio","1","0","0","0"
"A VOTAR POR Xóchitl Gálvez","@CoahuilaXochitl","08:25"," YoVotarePorXóchitl  EleccionesMx2024 Mexicanos en el extranjero votando por Xóchitl 💖💖💖💖","yo votaré por xochitl elecciones en méxico 2024 mexicanos en el extranjero votando por xochitl","1","0","0","0"
"Vicente Vázquez","@vicentevazquezg","08:23","En autoencuestas desde palacio donde no nos preguntan va arriba Claudia por 50 puntos; mientras encuestas reales y a la vista de todos donde votamos siempre gana Xochitl por más de 50 puntos. En un rato será la verdadera encuesta con Voto masivo por  Xochitl.  EleccionesMx2024","en autoencuestas desde palacio donde no nos preguntan va arriba claudia por 50 puntos;mientras encuestas reales y a la vista de todos donde votamos siempre gana xochitl por más de 50 puntos.en un rato será la verdadera encuesta con voto masivo por xochitl.elecciones en méxico 2024","1","1","0","0"
"MARTHA HERNÁNDEZ HERNÁNDEZ","@MARTHA_INDIGENA","08:11"," Vota  febNEZ ✍🏽🗳️  México2024  EleccionesHidalgo  Elecciones  EleccionesMx2024  Elecciones2024  Elecciones2024Mx 🟠MARTHA HERNÁNDEZ HERNÁNDEZ -CANDIDATA INDÍGENA A SENADORA  HIDALGO  Candidata  SenadoraDelPueblo  UnaIndigenaALSenado @MARTHA_INDIGENA 🛖👧🏿 @MovCiudadanoMX 🍊","vota febnez méxico 2024 elecciones en Hidalgo elecciones elecciones en méxico 2024 elecciones 2024 elecciones en méxico 2024 martha hernández hernández candidata indígena a senadora Hidalgo candidata senadora del pueblo una indígena al senado martha_indigena movciudadanomx","0","1","1","0"
"Laura 🌸","@LauraMex","08:55","Estos tipos quisieron quemar casillas en la escuela Bicentenario, cerca del Querétaro 2000. Un ciudadano los embistió cuando trataban de huir 👊🏻 Los cobardes se fueron corriendo. Así hay que defender nuestras casillas.  EleccionesMéxico2024  XochitlGálvezPresidenta","estos tipos quisieron quemar casilla electoral en la escuela bicentenario,cerca del Querétaro 2000.un ciudadano los embistió cuando trataban de huir los cobardes se fueron corriendo.así hay que defender nuestras casilla electoral.elecciones en méxico 2024 xochitl gálvez será la presidenta","1","-1","0","0"
"Gloria Alfa y Omega","@GlodeJo07","08:44","Un fanático morenista ataca verbalmente a Xóchitl Gálvez al ejercer su derecho a votar.  EleccionesMexico2024","un fanático morenista ataca verbalmente a xochitl galvez al ejercer su derecho a votar.elecciones en méxico 2024","-1","0","0","0"
"Emeequis","@emeequis","08:49","“¡Fórmese!”, le pidieron los ciudadanos a Jorge Álvarez Máynez al llegar a la casilla. ¡Tú ni vives aquí!.","¡fórmese!,le pidieron los ciudadanos a jorge álvarez maynez al llegar a la casilla electoral.¡tú ni vives aquí!.","0","0","1","0"
"Princesa Fifiona","@PFifiona","08:03","Desde temprano ejercí mi derecho al voto. ¡Xóchitl Gálvez presidenta de México 2024-2030!","desde temprano ejercí mi derecho al voto.¡xochitl galvez presidenta de méxico 2024 2030!","1","0","0","0"
"Տᑌ MALVADA ᗰᗩᒎᗴՏ丅ᗩᗪ ᒪᗩ ᗷᗝᗩ 👑🐍","@JeSuisLaBOA","08:26","En Mérida, Yucatán se desbordan las casillas. ¡Si todos votamos, con Xochitl ganamos!  YoVotarePorXóchitl","en mérida,Yucatán se desbordan las casilla electoral.¡si todos votamos,con xochitl ganamos!yo votaré por xochitl","1","0","0","0"
"Xóvenes Xingones","@XovenesXingones","08:32","En Mérida, Yucatán se desbordan las casillas. ¡Si todos votamos, con Xochitl ganamos!  YoVotarePorXóchitl","en mérida,Yucatán se desbordan las casilla electoral.¡si todos votamos,con xochitl ganamos!yo votaré por xochitl","1","0","0","0"
"Enrique Muñoz","@enriquemunozFM","08:12","Largas filas en la embajada de México en España para votar; todos gritan ‘Xóchitl’ en un momento histórico.","largas filas en la embajada de méxico en españa para votar;todos gritan xochitl en un momento histórico.","-1","0","0","0"
"fifirulaiX","@Fifirulais3030","08:05","¿Te imaginas que escándalo sería si presidentes de otros países promovieran el voto por Xóchitl?  YoVotaréPorXóchitl","¿te imaginas que escándalo sería si presidentes de otros países promovieran el voto por xochitl?yo votaré por xochitl","1","0","0","0"
"Alejandro Juárez","@AleJuarezA","08:42","Soy católico practicante. Desde mi Fe le pido a Dios que gane Xóchitl.  YoVotaréPorXóchitl","soy católico practicante.desde mi fe le pido a dios que gane xochitl.yo votaré por xochitl","1","0","0","0"
"𝙇𝙤𝙡𝙖 𝙈𝙚𝙣𝙩𝙤","@007Lola_Mento","08:28","Los mexicanos en España ya decidieron: ¡Xóchitl! Sal a votar!  Elecciones2024","los mexicanos en españa ya decidieron:¡xochitl!sal a votar!elecciones 2024","1","0","0","0"
"Joaquín López-Dóriga","@lopezdoriga","08:34","“¡Tú ni vives aquí!”, le dicen a Jorge Álvarez Máynez al votar en la alcaldía Cuauhtémoc.","¡tú ni vives aquí!,le dicen a jorge álvarez maynez al votar en la alcaldía cuauhtémoc.","0","0","-1","0"
"Salvador Rivera","@ChavaRRivera","08:52","¿Podré votar por mí o tengo que hacerlo por cualquiera de las señoras? Jorge Álvarez febnez meditando.","¿podré votar por mí o tengo que hacerlo por cualquiera de las señoras?jorge álvarez febnez meditando.","0","0","1","0"
"Pablo Garduño  ™","@PabloGCadena","08:14","Increpan al candidato Jorge Alvarez Máynez: ¡Tu ni vives aquí!","increpan al candidato jorge alvarez maynez:¡tu ni vives aquí!","0","0","-1","0"
"Jannet López Ponce","@Jannet_LP","08:32","Jorge Álvarez Máynez promovió respetar leyes, pero ahora viola abiertamente la veda electoral.","jorge álvarez maynez promovió respetar leyes,pero ahora viola abiertamente la veda electoral.","0","0","1","0"
"Melissa Ⓜ️","@Melissa_Bely","08:31","Llegó Máynez a votar: “¿Dónde está la fila VIP?”  EleccionesMx2024","llegó maynez a votar:¿dónde está la fila exclusiva?elecciones en méxico 2024","0","0","1","0"
"José","@Noe77Jose","08:19","Votaré masivo por Morena.  ClaudiaPresidentaDeMéxico2024","votaré masivo por morena.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"A VOTAR POR Xóchitl Gálvez","@CoahuilaXochitl","08:24","Si esto es en el extranjero, imagínense en México. Vamos por ese 65% de participación!  YoVotarePorXóchitl","si esto es en el extranjero,imagínense en méxico.vamos por ese 65 de participación!yo votaré por xochitl","1","0","0","0"
"El Luigi","@ragazzoperron","08:46","Buenos días a todos, menos a los que votan por Sheinbaum.  EsClaudia  EleccionesMexico2024","buenos días a todos,menos a los que votan por sheinbaum.es Claudia elecciones en méxico 2024","0","1","0","0"
"CARLOS ARANDA","@CARLOS_ARANDA17","08:18","En 2018 vivimos la seguridad del triunfo, hoy lo volveremos a vivir: somos muy afortunados.  ClaudiaPresidentaDeMéxico2024","en 2018 vivimos la seguridad del triunfo,hoy lo volveremos a vivir:somos muy afortunados.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"J. Alberto","@BetoMeVa","08:43","Le di mi voto a @claudia sheinbaum para jefa de gobierno, hoy se lo doy para presidenta.  ClaudiaPresidentaDeMéxico2024","le di mi voto a claudia sheinbaum para jefa de gobierno,hoy se lo doy para presidenta.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Sergio Angelo","@soysergioangelo","08:06","@Lopez Obrador ya votó. Participa y haz que tu voz cuente.  ClaudiaPresidentaDeMéxico2024","Lopez Obrador ya votó.participa y haz que tu voz cuente.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Karla oropeza","@kr_oropeza","08:34","Cansadas de su complicidad con narcotraficantes.  ClaudiaArrasará  ClaudiaPresidentaDeMéxico2024","cansadas de su complicidad con narcotraficantes.Claudia arrasará en las votaciones claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"ALURKA","@ALURKA","08:46","Aquellos que odian a su misma gente defienden lo indefendible.  ClaudiaPresidentaDeMéxico2024","aquellos que odian a su misma gente defienden lo indefendible.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Adriana Salazar","@hhadris21","08:49","En mi casilla todo tranquilo. Gracias @INEMexico por escucharnos.  ClaudiaPresidentaDeMéxico2024","en mi casilla electoral todo tranquilo.gracias INE México por escucharnos.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Chaira por convicción","@amoresAMLO","08:11","Xóchitl es una farsante.  EsClaudiaPresidenta2024  ClaudiaPresidentaDeMéxico2024","xochitl es una farsante.es Claudia la próxima presidenta de México claudia será la siguiente presidenta de méxico en 2024","-1","1","0","0"
" VotoMasivoPorMorena2024","@comsatori","08:06","Dos noticias para los opositores: disfruten.  ClaudiaPresidentaDeMéxico2024","dos noticias para los opositores:disfruten.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"j. gonzález baum","@jgonzalezbaum","08:53","La corrupta de Xóchitl hará el ridículo.  ClaudiaPresidentaDeMéxico2024","la corrupta de xochitl hará el ridículo.claudia será la siguiente presidenta de méxico en 2024","-1","1","0","0"
"María Flores","@RamosLenomcevid","08:04","Hoy es un gran día para seguir en el movimiento del pueblo.  ClaudiaPresidentaDeMéxico2024","hoy es un gran día para seguir en el movimiento del pueblo.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"El gato político","@elgatopolitico_","08:13","AMLO llega a votar.  ClaudiaPresidentaDeMéxico2024  EleccionesMéxico2024","amlo llega a votar.claudia será la siguiente presidenta de méxico en 2024 elecciones en méxico 2024","0","1","0","0"
"Luis","@rawmstock","08:57","Mexicanos, al grito de guerra.  ClaudiaPresidentaDeMéxico2024","mexicanos,al grito de guerra.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"GOH","@OHGama85","08:13","Ni un voto al PRIAN.  ClaudiaPresidentaDeMéxico2024","ni un voto al prian representado  por xochitl.claudia será la siguiente presidenta de méxico en 2024","-1","1","0","0"
"ᗰᗩᖇ 🤞🏻🩷","@FifiForever21","08:52","Ya en mi casilla esperando. ¡La victoria es nuestra!  YoVotarePorXóchitl","ya en mi casilla electoral esperando.¡la victoria es nuestra!yo votaré por xochitl","1","0","0","0"
"NORDUR ❤🇲🇽","@ndurancoronado","08:29","Voto parejo por Morena.  ClaudiaPresidentaDeMéxico2024","voto parejo por morena.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"D∆V€ 💫Life Itself Is Music For Those Who Listen💫","@DAMM05","08:02","Hart@ de tanta corrupción, sal y vota.  XochitlGálvezPresidente24","hart de tanta corrupción,sal y vota.xochitl galvez presidenta 2024","1","0","0","0"
"Luna Gil","@LunaGilVent","08:44","Todos salgamos a votar.  YoVotarePorXóchitl","todos salgamos a votar.yo votaré por xochitl","1","0","0","0"
"Salvador Vega C.","@SalvadorVegaC","08:31","Por el país que queremos, salgamos a votar todos.  XochiltGalvez","por el país que queremos,salgamos a votar todos.xochitl gálvez","1","0","0","0"
"Glow✨🦋","@gloriadavila90","08:59","No hay plazo que no se cumpla. Es hoy, salgamos masivamente.  XochitlGálvezPresidenta24","no hay plazo que no se cumpla.es hoy,salgamos masivamente.xochitl galvez presidenta 2024","1","0","0","0"
"Magica-O-Mim","@PLakech","08:28","Vota por vida, verdad y libertad.  XochitlGálvezPresidenta","vota por vida,verdad y libertad.xochitl gálvez será la presidenta","1","0","0","0"
"E⃓v⃓i⃓l⃓ F⃓a⃓i⃓r⃓y⃓⭐️","@ada_rdea","08:39","Hoy mandaremos a la secta al 💩. Buenos días.  XochitlYaGanó","hoy mandaremos a la secta al.buenos días.xochitl ya ganó","1","-1","0","0"
"Laura 🌸","@LauraMex","08:54","Estos tipos quisieron quemar casillas en la escuela Bicentenario. Así hay que defender nuestras casillas.  EleccionesMéxico2024  XochitlGálvezPresidenta","estos tipos quisieron quemar casilla electoral en la escuela bicentenario.así hay que defender nuestras casilla electoral.elecciones en méxico 2024 xochitl gálvez será la presidenta","1","0","0","0"
"Luis Carpintero","@Luiscarpintero","08:52","Me espere 6 años de terror, ¿que no me espere todo el día? Mi casilla está llena, la espera más hermosa de mi vida.  XóchitlGálvezPresidenta","me espere 6 años de terror,¿que no me espere todo el día?mi casilla electoral está llena,la espera más hermosa de mi vida.xochitl gálvez será la presidenta","1","0","0","0"
"Video Paranormal","@paranormal_vid_","08:49","Oye @XochitlGalvez en ti confío.  XóchitlGálvezPresidenta","oye xochitl galvez en ti confío.xochitl gálvez será la presidenta","1","0","0","0"
"fifirulaiX","@Fifirulais3030","08:41","Jálale la cadenita. Hoy hoy hoy!  XóchitlGálvezPresidenta","jálale la cadenita.hoy hoy hoy!xochitl gálvez será la presidenta","1","0","0","0"
"Leon Vega X","@LeonV3ga","08:21","No olvides que este gobierno causó la muerte de 800,000 mexicanos en la pandemia. Sal a votar.  XochitlGálvezPresidenta","no olvides que este gobierno causó la muerte de 800,000 mexicanos en la pandemia.sal a votar.xochitl gálvez será la presidenta","1","-1","0","0"
"El AventureroX con X🔥","@AventureroSoyYo","08:54","Hoy gana Xóchitl.  XóchitlGálvezPresidenta","hoy gana xochitl.xochitl gálvez será la presidenta","1","0","0","0"
"Héctor Navarro","@Navarro_Hector","08:42","Se cumplió. Sal y vota.  XochitlGálvezPresidenta","se cumplió.sal y vota.xochitl gálvez será la presidenta","1","0","0","0"
"Mario Blond 🎬","@mariojavier","08:27","Mucha afluencia en la Del Valle.  ElecciónPresidencial  XochitlGálvezPresidenta","mucha afluencia en la del valle.elección presidencial xochitl gálvez será la presidenta","1","0","0","0"
"Jaime Duarte Mtz.","@JaimeDuarte","08:00","Mi voto será por la libertad.  XochitlGálvezPresidenta","mi voto será por la libertad.xochitl gálvez será la presidenta","1","0","0","0"
"Alicia Alarcón","@AliciaAlarcon","08:07","Soy Alicia Alarcón.  YoVotarePorXóchitl  XochitlGálvezPresidenta","soy alicia alarcón.yo votaré por xochitl xochitl gálvez será la presidenta","1","0","0","0"
"Ana Caro🌸","@CaritoMT_33","08:49","Te habla una cubana que experimentó el comunismo.  XochitlGálvezPresidenta","te habla una cubana que experimentó el comunismo.xochitl gálvez será la presidenta","1","0","0","0"
"Mike 〽️","@Mike_Mtz_","08:36","Mi voto será para @XochitlGalvez.  XochitlGálvezPresidenta","mi voto será para xochitl galvez.xochitl gálvez será la presidenta","1","0","0","0"
"Germán Renko","@ArkRenko","08:02","Mi voto no se vende. Cuida a tus hijos con tu voto.  XochitlGálvezPresidenta","mi voto no se vender.cuida a tus hijos con tu voto.xochitl gálvez será la presidenta","1","0","0","0"
"Alicia Alarcón","@AliciaAlarcon","08:18","Listo. Por nosotros. Tus hijos y los míos. Por los que más necesitan ayuda. Por nuestro precioso país.  XochitlGálvezPresidenta","listo.por nosotros.tus hijos y los míos.por los que más necesitan ayuda.por nuestro precioso país.xochitl gálvez será la presidenta","1","0","0","0"
"Paloma 🇲🇽❤🇲🇽","@Edalimx","08:06","Tengo nervios y miedo pero mucha esperanza. Vamos a ganar.  XochitlGálvezPresidenta  VotaSinMiedo","tengo nervios y miedo pero mucha esperanza.vamos a ganar.xochitl gálvez será la presidenta vota sin miedo","1","0","0","0"
"Ernesto Castrejon Ruiz","@ErnestoCastre12","08:17","Cumpliendo con mi México, ya votamos toda mi familia y yo. Salvemos a México.  XochitlGálvezPresidenta","cumpliendo con mi méxico,ya votamos toda mi familia y yo.salvemos a méxico.xochitl gálvez será la presidenta","1","0","0","0"
"Verónica X 🍎","@draveropdeg","08:56","Que alivio que ya se va.  XochitlGálvezPresidenta","que alivio que ya se va.xochitl gálvez será la presidenta","1","0","0","0"
"Ricardito","@RicarditoAnaya","08:16","El de López Obrador pasará a la historia como el Gobierno que entregó México al Crimen Org.!  XochitlGálvezPresidenta","el de lópez obrador pasará a la historia como el gobierno que entregó méxico al crimen organizado.!xochitl gálvez será la presidenta","1","-1","0","0"
"Alfebucateca","@alfebucateca1","08:02","Entiende estas elecciones. Todos a salir a votar.  XochitlGálvezPresidenta  ByeByeMorena","entiende estas elecciones.todos a salir a votar.xochitl gálvez será la presidenta adiós MORENA","1","-1","0","0"
"Mrs. Hyde","@MrsHydeMEX","08:06","Laptop, cargadores, lentes, camiseta. Listo para llevar a @XochitlGalvez.  XochitlGálvezPresidenta","laptop,cargadores,lentes,camiseta.listo para llevar a xochitl galvez.xochitl gálvez será la presidenta","1","0","0","0"
"Juan Carlos","@JuanCarM17","08:41","Votemos masivamente por @XochitlGalvez para recuperar México.  XochitlGálvezPresidenta","votemos masivamente por xochitl galvez para recuperar méxico.xochitl gálvez será la presidenta","1","0","0","0"
"Jacqueline Ramírez","@JacquelineRamr1","08:38","Hay que cuidar mucho a la futura  ClaudiaPresidentaDeMéxico2024","hay que cuidar mucho a la futura claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Bruja Cósmica de los Salchis","@indraelephant8","08:09","Hoy es el gran día.  ClaudiaPresidentaDeMéxico2024","hoy es el gran día.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Leo","@MLeitoR","08:26","Listo con todo mi Chairo Corazón.  ClaudiaPresidentaDeMéxico2024  PlanC","listo con todo mi chairo corazón.claudia será la siguiente presidenta de méxico en 2024 plan C","0","1","0","0"
"Mary Villa🍁☘","@marycielovilla","08:40","A repetir la historia amigos. Hoy lo haremos de nuevo.  ClaudiaPresidentaDeMéxico2024","a repetir la historia amigos.hoy lo haremos de nuevo.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Ana Martínez","@anylaump","08:38","Mi voto es para @claudia sheinbaum.  ClaudiaPresidentaDeMéxico2024","mi voto es para claudia sheinbaum.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Esteban Rivera","@0Ultranietzsche","08:37","Hoy he ejercido mi voto por Claudia Sheinbaum.  ClaudiaPresidentaDeMéxico2024","hoy he ejercido mi voto por claudia sheinbaum.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Pedro Tomás Zepeda","@PedroTomasZ","08:15","Querido @epigmenioibarra imágenes emotivas del  CierreDeCampaña.  ClaudiaPresidentaDeMéxico2024","querido epigmenioibarra imágenes emotivas del cierredecampaña.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"El gato político","@elgatopolitico_","08:45","Llega a votar nuestra próxima presidenta, Claudia Sheinbaum.  ClaudiaPresidentaDeMéxico2024","llega a votar nuestra próxima presidenta,claudia sheinbaum.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Ale Afeba","@AleAfeba_21","08:28","Mi voto para Claudia.  ClaudiaPresidentaDeMéxico2024","mi voto para claudia.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Sergio Álvarez","@SergioAlvarez4T","08:29","Que nunca más Televisa persuada en el voto.  ClaudiaPresidentaDeMéxico2024","que nunca más televisa persuada en el voto.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"kompi 🇲🇽","@kompi1570","08:57","Listo.  PlanC_YaEstáEnMarcha  ClaudiaPresidentaDeMéxico2024","listo.el Plan C ya está en marcha claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
