"LosTitulares","@_LosTitulares","18:35"," EleccionesMéxico2024 También el dirigente nacional del @PAN @MarkoCortes salió a exponer que su alianza ganó la CDMX, Guanajuato, Morelia, Puebla con @eduardorivera01, Veracruz y Yucatán.","elecciones en méxico 2024 también el dirigente nacional del PAN markocortes salió a exponer que su alianza ganó la Ciudad de México,guanajuato,Morelia,puebla con eduardorivera01,Veracruz y Yucatán.","1","0","0","0"
"Gilberto Lozano","@gilbertolozanog","08:33","Sheinbaum y Máynez son ateos. Xóchitl también, aunque hipócrita. Tres zurdos progresistas en la boleta.","sheinbaum y maynez son ateos.xochitl también,aunque hipócrita.tres zurdos progresistas en la boleta electoral.","-1","-1","-1","0"
"Lety 🇲🇽","@Lety_Barrera","15:44"," YoVotéPorXóchitl","ya voté por xochitl","1","0","0","0"
"Eugenia Lara ✖️ MiVotoParaXochitl","@EugeniaLaraG1","08:02"," XochitlGálvezPresidenta","xochitl gálvez será la presidenta","1","0","0","0"
"Andrea🇺🇦 ~Andira","@AndreaM05612909","14:47"," EleccionesMéxico2024  YoVotéPorXóchitl  XóchitlGálvezPresidenta Porque quiero a 🇲🇽 viviendo en plena Libertad","elecciones en méxico 2024 ya voté por xochitl xochitl gálvez será la presidenta porque quiero a viviendo en plena libertad","1","0","0","0"
"Melky Hernández 🇵🇸","@melkyhdez","16:50","Increíble que en la jornada electoral más grande de la historia de México, las boletas estén limitadas, privando a las y los mexicanos del derecho a votar. Definitivamente el @INEMexico tiene una mala organización dentro de las casillas.  EleccionesMéxico2024","increíble que en la jornada electoral más grande de la historia de méxico,las boleta electoral estén limitadas,privando a las y los mexicanos del derecho a votar.definitivamente el INE México tiene una mala organización dentro de las casilla electoral.elecciones en méxico 2024","0","0","0","-1"
"ING Jose Quintero","@JoseQui58368","09:59","En respuesta a @XovenesXingones @PartidoMorenaMx y @claudia sheinbaum Jajajajajq ya están listos para perder con su botarga?  VotoMasivoMorenaPTyPV  ClaudiaPresidentaDeMéxico2024","en respuesta a jóvenes chingones con xóchitl partidomorenamx y claudia sheinbaum jajajajajq ya están listos para perder con su botarga?voto masivo para MORENA, PT y PV claudia será la siguiente presidenta de méxico en 2024","-1","1","0","0"
"Nani💋","@nanyy0104","08:58","Culo el que vote por Xóchitl.  EleccionesMx2024","culo el que vote por xochitl.elecciones en méxico 2024","-1","0","0","0"
"ANA VALLE","@anavalle","22:41","Ya quiero verlos diciendo 'Viva Claudia' cuando México se vaya a la verga 😍","ya quiero verlos diciendo viva claudia cuando méxico se vaya alv","0","-1","0","0"
"Simón A-Ramón","@simon_antun","18:57","Replying to @simon_antun @evoespueblo and 3 others  EleccionesMéxico2024 Intervención de Mario Delgado anunciando la victoria (no oficial) de Claudia Sheinbaum, candidata oficial.","replying to simon_antun evoespueblo and 3 others elecciones en méxico 2024 intervención de mario delgado anunciando la victoria(no oficial)de claudia sheinbaum,candidata oficial.","0","1","0","0"
"Capital 21 Noticias","@C21Noticias","16:57"," EleccionesMéxico2024 | El Sistema de Información sobre el desarrollo de la Jornada Electoral (SIJE) del @INEMexico reportó, con corte a las 17:10 horas de este 2 de junio, la instalación de 169 mil 747 casillas, es decir, el 99.98% de las casillas electorales aprobadas.","elecciones en méxico 2024 el sistema de información sobre el desarrollo de la jornada electoral(sije)del INE México reportó,con corte a las 17:10 horas de este 2 de junio,la instalación de 169 mil 747 casilla electoral,es decir,el 99.98 de las casilla electoral electorales aprobadas.","0","0","0","0"
"Froylan Lara✒️","@biofroy","09:09","Día histórico para México ❤️  ClaudiaPresidentaDeMéxico  ClaudiaArrasará  ClaudiaPresidentaDeMéxico2024  ClaudiaYaEresPresidenta","día histórico para méxico Claudia será presidenta de México Claudia arrasará en las votaciones claudia será la siguiente presidenta de méxico en 2024 Claudia, ya eres presidenta","0","1","0","0"
"Got morgen til livet","@robertoz70","12:45"," XochitlGalvezPresidenteDeMėxico  YoVotéPorXóchitl listo!!!","xochitl galvez presidenta de méxico ya voté por xochitl listo!!!","1","0","0","0"
"JaguarAguilar","@JaguarAguilar","09:24","Alguien vote a Maynez por favor  Votaciones  EleccionesMéxico2024  Mexico  Votaciones2024","alguien vote a maynez por favor votaciones elecciones en méxico 2024 méxico votaciones 2024","0","0","1","0"
"Lili Islas ☕️","@duceli_175","14:28","Quedamos en las mejores manos para construir el 2° piso de NUESTRA Transformación💪🏼 Toda mi confianza para @claudia sheinbaum, no nos falló como Jefa de gobierno y no nos fallará como  ClaudiaPresidentaDeMéxico2024 No te dejaremos sola y vamos junt@s  HastaLaVictoria  ClaudiaArrasará","quedamos en las mejores manos para construir el 2 piso de nuestra transformación toda mi confianza para claudia sheinbaum,no nos falló como jefa de gobierno y no nos fallará como claudia será la siguiente presidenta de méxico en 2024 no te dejaremos sola y vamos junt s hasta la victoria Claudia arrasará en las votaciones","0","1","0","0"
"Jhon","@juandegdl","15:11","Por  ClaudiaPresidentaDeMéxico2024","por claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Xóvenes Xingones","@XovenesXingones","08:03","Los  XovenesXingones estamos con @XochitlGalvez.  XóchitlGálvezPresidenta","los jóvenes chingones con xóchitl estamos con xochitl galvez.xochitl gálvez será la presidenta","1","0","0","0"
"𝑴𝒂𝒓𝒄𝒖𝒔𝑩𝒖𝒔𝒕𝒐𝒔","@MarckBustos","09:29","Nunca me habían emocionado tanto unas elecciones como éstas!  EleccionesMéxico2024  XóchitlGálvezPresidenta","nunca me habían emocionado tanto unas elecciones como éstas!elecciones en méxico 2024 xochitl gálvez será la presidenta","1","0","0","0"
"CHRISTINA ROSENTHAL","@CRISTINAITOR48","08:51","Mi voto no es para ti botarga.  ClaudiaPresidentaDeMéxico2024","mi voto no es para ti botarga.claudia será la siguiente presidenta de méxico en 2024","-1","1","0","0"
"Jorge Montes de Oca","@CancunMinigolf","13:03"," EleccionesMéxico2024  YoVotéPorXóchitl  XochitlGálvezPresidenta24","elecciones en méxico 2024 ya voté por xochitl xochitl galvez presidenta 2024","1","0","0","0"
"Marco","@Procopius_soy","16:19","Muy acertado recordatorio…. el malestar de Migrantes hoy al no poder votar es resultado de la negativa de la Suprema Corte a permitir voto con identificación oficial, pasaporte…  EleccionesMéxico2024","muy acertado recordatorio.el malestar de migrantes hoy al no poder votar es resultado de la negativa de la suprema corte a permitir voto con identificación oficial,pasaporte elecciones en méxico 2024","0","0","0","-1"
"Ramses Ramos","@rancioxd","15:15"," YoVotéPorXóchitl 🩷","ya voté por xochitl","1","0","0","0"
"♦ John Marston♦","@Galvanman9","16:37","Presidente Maynez, Maynez, Maynez, Maynez Presidente. 🎶 Yo camino a la urna a dejar mi boleta marcada con  XochitlGálvez  EleccionesMéxico2024  EleccionPresidencial2024  VotoMexico","presidente maynez,maynez,maynez,maynez presidente.yo camino a la urna a dejar mi boleta electoral marcada con xochitl galvez elecciones en méxico 2024 elección presidencial 2024 vota méxico","1","0","1","0"
"Olga Espinoza","@olgaev9","08:26","Hemos cumplido. Viva México.  InundemosLasUrnas","hemos cumplido.viva méxico.inundemos las urnas","0","0","0","1"
"CHISMEANDOANDOMX","@chismeandoandom","16:44","Lamentablemente lo ocurrido en Queretaro  EleccionesMéxico2024  EleccionesQuerétaro","lamentablemente lo ocurrido en Querétaro elecciones en méxico 2024 elecciones Querétaro","0","0","0","-1"
"Buzos de la Noticia","@BuzosNoticias","16:29"," EleccionesMéxico2024 || Entre las 8 y 9 pm se darán resultados preliminares de las alcaldías de CDMX","elecciones en méxico 2024 entre las 8 y 9 pm se darán resultados preliminares de las alcaldías de Ciudad de México","0","0","0","0"
"cc","@ccblascor","09:36","POR MÉXICO 🇲🇽 @xochitl @STaboadaMx  EleccionesMéxico2024  XochitlGálvezPresidenta  MexicoConXóchitlGálvez","por méxico xochitl staboadamx elecciones en méxico 2024 xochitl gálvez será la presidenta méxico con xochitl gálvez","1","0","0","0"
"Frank Lindero","@LinderoXavier","10:47","Recuerden no dejen de votar para que @XochitlGalvez sea la presidenta de México.  XóchitlGálvezPresidenta  EleccionesMéxico2024","recuerden no dejen de votar para que xochitl galvez sea la presidenta de méxico.xochitl gálvez será la presidenta elecciones en méxico 2024","1","0","0","0"
"Ing. Chairo AMLObradorista","@osojupChairoIng","15:29"," ClaudiaPresidentaDeMéxico2024  ClaudiaArrasará 😏","claudia será la siguiente presidenta de méxico en 2024 Claudia arrasará en las votaciones","0","1","0","0"
"Mafer Muval","@mafermuval","22:46","VIVA CAIFANES 🗣🫵🏻","viva caifanes","0","0","0","1"
"Numen Sanders","@NumenSanders_","15:41"," YoVotéPorXochitl  XóchitlGálvezPresidenta  EleccionesMexico2024","yo voté por xochitl xochitl gálvez será la presidenta elecciones en méxico 2024","1","0","0","0"
"Bruja Cósmica de los Salchis","@indraelephant8","08:44","Vean la sencillez de Claudia Sheinbaum, haciendo fila como cualquier ciudadano.  ClaudiaPresidentaDeMéxico2024","vean la sencillez de claudia sheinbaum,haciendo fila como cualquier ciudadano.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Guillermo Reyes","@CondesaEquidad","09:39","Para los foráneos pregunten e investiguen sobre cuántas boletas hay y no desistan. Resistan es un momento importante para nuestro país. No dejemos que vuelva el PRIAN.  condesa  EleccionesMéxico2024  EleccionesMéxico","para los foráneos pregunten e investiguen sobre cuántas boleta electoral hay y no desistan.resistan es un momento importante para nuestro país.no dejemos que vuelva el prian representado  por xochitl.Condesa elecciones en méxico 2024 elecciones en méxico","-1","0","0","0"
"Verónica Sánchez","@Verosan_10","10:56"," ClaudiaPresidentaDeMéxico2024","claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Yiyi","@Yiyis_s","12:58","Por más derechos e igualdad a los que menos tienen, por qué tengamos más derechos laborales y de vivienda. Por menos desigualdad, Por más humanismo.  EleccionesMéxico2024  ClaudiaPresidentaDeMéxico2024","por más derechos e igualdad a los que menos tienen,por qué tengamos más derechos laborales y de vivienda.por menos desigualdad,por más humanismo.elecciones en méxico 2024 claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Explore Canada","@explorecanada","22:13","❤❤Eliza preciosa! Hasta está vestida como una diosa! ❤❤","eliza preciosa!hasta está vestida como una diosa!","0","0","0","1"
"Isra González","@Israglezz2","08:51"," InundemosLasUrnas mañana es el gran día perros que estuvieron ladrando pura 💩 durante 5 años los mama 🥚🥚PRIANPRD Voto masivo a MORENA, construyamos el 2do piso de la 4T","inundemos las urnas mañana es el gran día perros que estuvieron ladrando pura durante 5 años los mama PRIANRD representado por xochitl voto masivo a morena,construyamos el segundo piso de la 4ta transformación","-1","1","0","0"
"Fatima","@Fatima","21:05","Puro chairo por aquí.","puro chairo por aquí.","0","-1","0","0"
"Mar Valdelamar","@MarValdelamar","10:53","Sin camiones, ni tortas, ni apoyos!! Vamos México por la defensa de nuestras libertades!! Saludos desde Tepic, Nayarit!!  XochitlGálvezPresidenta24","sin camiones,ni tortas,ni apoyos!!vamos méxico por la defensa de nuestras libertades!!saludos desde tepic,nayarit!!xochitl galvez presidenta 2024","1","0","0","0"
"Flashito Helldiver 🪖🔫💥🏃🏻‍♂️⚡️","@yosoyflashito","12:56","Por otro sexenio mandando derechito a chingar a su madre al PRIAN, votemos 🤝🏻🙂‍↕️  EleccionesMéxico2024","por otro sexenio mandando derechito a chingar a su madre al prian representado  por xochitl,votemos elecciones en méxico 2024","-1","0","0","0"
"Karina","@Karina","21:43","A los del PRI les falta 🧠.","a los del pri representado por xochitl les falta.","-1","0","0","0"
"Santo vs las Momias de la 4T","@vs_4t","15:07","Por si tenían la duda de si ya fui a mandar a la verga a la Momia Seca @claudia sheinbaum y la legión del KKs. Ya lo hice @PartidoMorenaMx a la verga  2deJunio  EleccionesMéxico2024 👇🏽👇🏽👇🏽","por si tenían la duda de si ya fui a mandar a la verga a la momia seca claudia sheinbaum y la legión del cacas.ya lo hice partidomorenamx a la verga 2 de junio elecciones en méxico 2024","0","-1","0","0"
"Serguéi Rajmáninov","@Roy_Van_","16:56","Replying to @JustYorsh Claro, cómo en cada elección no podemos faltar Yorsh. 🙌🏽🌞  EleccionesMéxico2024","replying to justyorsh claro,cómo en cada elección no podemos faltar yorsh.elecciones en méxico 2024","0","0","0","1"
"User","arroba","hora de publicación","publicación","publicación","0","0","0","0"
"YOLLOXAN","@XANTILTI","12:28","Nikan tochantzinco ope keh las 8:20am neh o ni tlamahchoti las 9:32am nocni  amlo Miek toc nitzitzihua kate.  SanBernardinochalchihuapan  chalchihuapan  ocoyucan  PUEBLA  nahuatl @Cuauhtemoc_1521  EleccionesMéxico2024  ElecciónPresidencial  EleccionesMéxico24","nikan tochantzinco ope keh las 8:20am neh o ni tlamahchoti las 9:32am nocni amlo miek toc nitzitzihua kate.san bernardino chalchihuapan chalchihuapan ocoyucan puebla nahuatl cuauhtemoc_1521 elecciones en méxico 2024 elección presidencial elecciones en méxico 2024","0","0","0","0"
"Gatita Rebelde","@Alinalvarez24","15:30","Replying to @xochitl Bien Xingon! De no volverte a escuchar! Ni pegar más chicles, ni ver como la cagas! Por fin! De callarles la boca.  ClaudiaPresidentaDeMéxico2024 @XochitlGalvez @SantiagoCreelM @ClaudioXGG @kenialopezr @FelipeCalderon @VicenteFoxQue @alitomorenoc","replying to xochitl bien xingon!de no volverte a escuchar!ni pegar más chicles,ni ver como la cagas!por fin!de callarles la boca.claudia será la siguiente presidenta de méxico en 2024 xochitl galvez santiagocreelm claudioxgg kenialopezr felipecalderon vicentefoxque alitomorenoc","0","1","0","0"
"Angelica Palacios","@AngelicaPa85048","10:22","TODO MORENA  PlanC  ClaudiaPresidentaDeMéxico2024 Ningún paso atrás, a continuar con la  4taTransformación 🫶🫶🫶🫶","todo morena plan C claudia será la siguiente presidenta de méxico en 2024 ningún paso atrás,a continuar con la 4ta Transformación","0","1","0","0"
"Mauricio X 🌐","@elmaunogarces","15:58"," YoVotéPorXochitl  XóchitlGálvezPresidenta","yo voté por xochitl xochitl gálvez será la presidenta","1","0","0","0"
"🔊 🇲🇽~Edgar (N) RiveR~🇲🇽","@EdviRubiO","16:53","Desde el momento en que te imponen por quién votar, desde ese momento está jodido todo. No importa por quién votaste, todos los candidatos son una porquería. No creo que el próximo sexenio sea una mierda, ¿O si?  EleccionesMéxico2024  YaVoté  VotoPorMéxico  VotaPorMéxico","desde el momento en que te imponen por quién votar,desde ese momento está jodido todo.no importa por quién votaste,todos los candidatos son una porquería.no creo que el próximo sexenio sea una mierda,¿o si?elecciones en méxico 2024 ya voté voto por méxico voto por méxico","0","0","0","-1"
"SoleZH  StandWithUkraine 🇺🇦🕊","@solecitohc","18:59","Son las elecciones más apretadas en  México, las encuestas que dan como ganadora a una u otra candidata pululan en redes, pero el  INEMéxico aún no da resultados oficiales. Se espera el conteo hasta el último voto 🗳️  EleccionesMéxico2024 ⤵️","son las elecciones más apretadas en méxico,las encuestas que dan como ganadora a una u otra candidata pululan en redes,pero el INE México aún no da resultados oficiales.se espera el conteo hasta el último voto elecciones en méxico 2024","0","0","0","0"
"Edgar Hernández","@LineaCalienteEd","16:58","Menos de 1 hora para ir a votar. ¡Correee!  EleccionesMéxico2024","menos de 1 hora para ir a votar.¡correee!elecciones en méxico 2024","0","0","0","0"
"Karla oropeza","@kr_oropeza","08:04","Cansadas y cansados de sus amiguismos con narcotraficantes.  ClaudiaPresidentaDeMéxico2024","cansadas y cansados de sus amiguismos con narcotraficantes.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Lorena Barba","@LorenaBarbaG","19:57","Los ganadores: 2 presidentas del País 2 gobernadores por Estado etc.. que risa 🤣 se auto proclaman y aún no hay primer conteo 🤦🏻‍♀️ @xochitl @claudia sheinbaum  EleccionesMéxico2024 @INEMexico","los ganadores:2 presidentas del país 2 gobernadores por estado etc..que risa se auto proclaman y aún no hay primer conteo xochitl claudia sheinbaum elecciones en méxico 2024 INE México","-1","-1","0","0"
"SYMG","@SYMG","21:50","Morena ya ganó ♥♥, el país avanza al futuro.","morena ya ganó,el país avanza al futuro.","0","1","0","0"
"🇲🇽  VivaMexicoConAMLO","@Mashi_Yaz","16:58"," EleccionesMexico2024 ❤️🇲🇽❤️ Todavía tienes 40 minutos para ir a votar por ⁦@ClaraBrugadaM","elecciones en méxico 2024 todavía tienes 40 minutos para ir a votar por clarabrugadam","0","0","0","0"
"Vianey Sánchez","@VianeyS21869722","08:37","Salgamos a votar masivamente.  ClaudiaPresidentaDeMéxico2024","salgamos a votar masivamente.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"AxelMg","@axelmg","22:32","MAINEZ BEBÉ YA GANÓ 🧡🧡🧡🧡🧡🧡","maynez bebé ya ganó","0","0","1","0"
"Yolanda Reyes","@yolandareyes","22:19","Claudia 💪❤ CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA 🇲🇽💪 PRESIDENTA","claudia claudia claudia claudia claudia claudia presidenta","0","1","0","0"
"Karim Zarif","@Hijo7de_Dios","10:40"," TODOMORENA Ya se la pelaron  EleccionesMéxico2024","todo MORENA ya se la pelaron elecciones en méxico 2024","0","-1","0","0"
"RuLoO","@KaiserRulo","16:41","@miakhalifa AMLO believes in you!  YaVoté  EleccionesMéxico2024","miakhalifa amlo believes in you!ya voté elecciones en méxico 2024","0","0","0","0"
"jerry aguilar","@gerasagitario","09:58","Esta Hecho Voto por correo  ClaudiaPresidentaDeMéxico2024","esta hecho voto por correo claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Mercedes🩷","@Lunamlover","15:21","Replying to @xochitl Por supuesto, aquí está!!!  ClaudiaPresidentaDeMéxico2024  ClaudiaArrasará","replying to xochitl por supuesto,aquí está!!!claudia será la siguiente presidenta de méxico en 2024 Claudia arrasará en las votaciones","0","1","0","0"
"Տᑌ MALVADA ᗰᗩᒎᗴՏ丅ᗩᗪ ᒪᗩ ᗷᗝᗩ 👑🐍","@JeSuisLaBOA","12:59","Después de 5 horas, se logró. ¡Ánimo México, así se vota en Dinamarca!  YoVotéPorXóchitl","después de 5 horas,se logró.¡ánimo méxico,así se vota en dinamarca!ya voté por xochitl","1","0","0","0"
"Hey Jude","@soyjude_","16:50","Votar por el PAN no te hace rico, así como votar por Morena no te hace naco. Si vamos tratándonos con respeto?","votar por el PAN no te hace rico,así como votar por morena no te hace naco.si vamos tratándonos con respeto?","-1","1","0","0"
"Sam sam","@Samsam921479","09:56","Hoy es cuando veremos que los tweets de miles de bots no pueden votar. Claudia Presidente  ClaudiaPresidentaDeMéxico2024","hoy es cuando veremos que los tweets de miles de bots no pueden votar.claudia presidente claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Israel Bermúdez","@IsraelBermudezG","18:35","Basta con googlear el nombre de algunas 'encuestadoras' que por aquí han publicado algunos que se dicen serios, hay que decirlo, mayormente favoreciendo a Xóchitl… de algunas ni su página de internet existe. ¿Por qué son así eh? Nomás ilusionan 🤦🏽‍♂️  EleccionesMéxico2024","basta con googlear el nombre de algunas encuestadoras que por aquí han publicado algunos que se dicen serios,hay que decirlo,mayormente favoreciendo a xochitl de algunas ni su página de internet existe.¿por qué son así he?nomás ilusionan elecciones en méxico 2024","0","0","0","0"
"Diego Guillén","@DiegoGGuillen","09:45","Amigos de la 4T, si quieren que la transformación siga, no olviden que la única forma es votar de la siguiente manera, así garantizan la muerte del PRIAN.  EleccionesMéxico2024","amigos de la 4ta transformación,si quieren que la transformación siga,no olviden que la única forma es votar de la siguiente manera,así garantizan la muerte del prian representado  por xochitl.elecciones en méxico 2024","-1","1","0","0"
"PanAm Post Español","@PanAmPost_es","18:54"," EleccionesMéxico2024 🇲🇽 | Ciudad de México, 2 jun (EFE).- Los centros de votación para la elección presidencial cerraron a partir de las 18:00 hora local (00:00 GMT) en la mayoría del territorio de México, donde dentro de unas horas se prevé conocer a la persona que sucederá al.","elecciones en méxico 2024 ciudad de méxico,2 jun(efe).los centros de votación para la elección presidencial cerraron a partir de las 18:00 hora local(00:00 gmt)en la mayoría del territorio de méxico,donde dentro de unas horas se prevé conocer a la persona que sucederá al.","0","0","0","0"
"Alex 🇵🇸","@fabsmtz82","08:17"," ClaudiaPresidentaDeMéxico2024","claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Blade Musk","@Blade Musk","21:40","Puro Burro con primaria Trunca vota por el PAN Y PRI.","puro burro con primaria trunca vota por el PAN y pri representado por xochitl.","-1","0","0","0"
"Bryan Águila","@bryanaguila","22:47","vamos claudia","vamos claudia","0","1","0","0"
"Maria Fernanda Rivera","@Maria Fernanda Rivera","21:55","¿Por qué no hablan de toda la trampa que hubo en las elecciones? 🥹.","¿por qué no hablan de toda la trampa que hubo en las elecciones?.","0","0","0","-1"
